MovieID;Title;KoreanTitle;Plot;ReleaseYear;RunningTime;GradeID;GradeInKoreaID;Poster;ReleaseDateInKorea;BoxOfficeWWGross;BoxOfficeUSGross;Budget
5680;"Outside the Law";무법자;"A drama about the Algerian struggle for independence from France after WWII. ";2010;138;7;NULL;OutsidetheLaw.jpg;1900-01-01;0;0;0
5681;"The Illusionist";일루셔니스트;"A French illusionist finds himself out of work and travels to Scotland, where he meets a young woman. Their ensuing adventure changes both their lives forever.";2010;80;7;NULL;TheIllusionistAni.jpg;2011-06-16;0;0;0
5682;Logorama;롱고라마;"Police chase an armed criminal in a version of Los Angeles comprised entirely of corporate logos.";2009;16;6;NULL;Logorama.jpg;1900-01-01;0;0;0
5683;"French Roast";"프렌치 로스트";"In a fancy Parisian Cafe, an uptight businessman discovers he forgot to bring his wallet and bides his time by ordering more coffee. ";2008;8;6;NULL;FrenchRoast.jpg;1900-01-01;0;0;0
5684;"Granny O‘Grimm‘s Sleeping Beauty";"그래니 오그림의 잠자는 미녀";"It‘s night; a wide-eyed fearful child is in bed. When her granny enters the room, the child pretends to be asleep. Granny O‘Grimm isn‘t fooled; she pokes the child with a walker and picks up the book "Sleeping Beauty." We see the story as she tells it, images jumping between fairies at a baby‘s christening and Granny‘s agitated narrating. The aged fairy, who wasn‘t invited to the feast, looks just like Granny, but with small wings. As the child‘s terror deepens, Granny reaches the end of her version of the story. Will the child get any sleep? ";2008;6;6;NULL;GrannyOGrimmsSleepingBeauty.jpg;1900-01-01;0;0;0
5685;"The Lady and the Reaper (La dama y la muerte)";;"A sweet old lady is living alone in her farm, waiting for the arrival of death to meet her beloved husband again. One night, while sleeping, her life fades out and she is invited to cross death‘s door. Bue when she is about to do so, the old lady wakes up inside a hospital‘s ward: and arrogant doctor has taken her back to life and he will fight hard against death to recover the old lady‘s life at any cost. ";2009;8;6;NULL;TheLadyandtheReaper.jpg;1900-01-01;0;0;0
5686;"A Matter of Loaf and Death";;"Wallace and his dog, Gromit, open a bakery and get tied up with a murder mystery. But, when Wallace falls in love Gromit is left to solve the case. ";2008;30;6;NULL;AMatterofLoafandDeath.jpg;1900-01-01;0;0;0
5687;"The New Tenants";;"A nosy neighbor, a drug dealer and an angry husband make for a move-in day that two men will never forget. ";2009;21;5;NULL;TheNewTenants.jpg;1900-01-01;0;0;0
5688;"Instead of Abracadabra";;"A man who still lives with his parents tries to realize his dream of becoming a magician. ";2008;22;6;NULL;;1900-01-01;0;0;0
5689;Kavi;카비;"The story of a young boy who attempts to escape from the brick kiln where he is forced to work as a bonded labor slave in India.";2009;19;6;NULL;Kavi.jpg;1900-01-01;0;0;0
5690;"Miracle Fish";;"8 year old Joe has a Birthday he will never forget. After friends bully him, he sneaks off to the sick bay, wishing everyone in the world would go away. He wakes up to find his dream may have become a reality. ";2009;17;6;NULL;MiracleFish.jpg;1900-01-01;0;0;0
5691;"The Door";;"After stealing an old door, a man reflects on the desperate circumstances that led him to do so. ";2008;17;6;NULL;TheDoor.jpg;1900-01-01;0;0;0
5692;"Music by Prudence";;"Prudence Mabhena leads a group of young, disabled Africans who inspire others with their music, proving that disability does not mean inability";2010;33;6;NULL;MusicbyPrudence.jpg;1900-01-01;0;0;0
5693;"China‘s Unnatural Disaster: The Tears of Sichuan Province";;"On May 12, 2008, a catastrophic earthquake hit Sichuan Province in rural China, killing nearly 70,000 people, including 10,000 children. In town after town, poorly constructed school buildings crumbled, wiping out classrooms filled with students, most of them their parents‘ only child. But when grieving mothers and fathers sought explanations and justice, they found their path blocked by incompetence, corruption and empty promises.";2009;38;6;NULL;ChinasUnnaturalDisaster.jpg;1900-01-01;0;0;0
5694;"Rabbit a la Berlin";;"The untold story about wild rabbits which lived between the Berlin Walls. ";2009;51;6;NULL;RabbitalaBerlin.jpg;1900-01-01;0;0;0
5695;"The Last Campaign of Governor Booth Gardner";;"Documentary following assisted suicide ballot initiative in Washington State. ";2009;37;6;NULL;TheLastCampaignofGovernorBoothGardner.jpg;1900-01-01;0;0;0
